query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.2,4,292,14,416,288,292,87,64,10,10,10,1
1,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,495,23,704,491,495,132,77,10,10,10,1
2,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,362,17,512,358,362,125,86,10,10,10,1
3,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,294,16,480,290,294,101,76,10,10,10,1
4,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,367,19,576,363,367,123,87,10,10,10,1
5,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,549,27,832,545,549,174,105,10,10,10,1
6,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,399,19,576,395,399,98,61,10,10,10,1
7,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,365,21,640,361,365,162,135,10,10,10,1
8,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,393,17,512,389,393,104,66,10,10,10,1
9,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,515,22,672,511,515,152,92,10,10,10,1
10,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.1,4,446,25,768,442,446,131,83,10,10,10,1
11,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,380,17,512,376,380,123,80,10,10,10,1
12,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,322,16,480,318,322,112,84,10,10,10,1
13,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,375,18,544,371,375,122,76,10,10,10,1
14,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,417,21,640,413,417,127,74,10,10,10,1
15,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,309,19,576,305,309,105,70,10,10,10,1
16,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,326,17,512,322,326,115,78,10,10,10,1
17,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.2,4,262,13,384,258,262,83,50,10,10,10,1
18,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,441,21,640,437,441,150,94,10,10,10,1
19,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,396,18,544,392,396,116,70,10,10,10,1
20,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,368,18,544,364,368,145,114,10,10,10,1
21,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,334,15,448,330,334,117,83,10,10,10,1
22,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.1,4,267,14,416,263,267,105,74,10,10,10,1
23,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,362,17,512,358,362,127,91,10,10,10,1
24,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,476,22,672,472,476,157,98,10,10,10,1
25,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,472,23,704,468,472,144,95,10,10,10,1
26,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,444,21,640,440,444,146,101,10,10,10,1
27,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,497,21,640,493,497,157,100,10,10,10,1
28,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,380,18,544,376,380,135,101,10,10,10,1
29,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,384,20,608,380,384,152,110,10,10,10,1
30,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.2,4,393,20,608,389,393,149,102,10,10,10,1
31,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,336,17,512,332,336,135,90,10,10,10,1
32,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,292,14,416,288,292,107,80,10,10,10,1
33,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,319,20,608,315,319,144,108,10,10,10,1
34,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,421,20,608,417,421,129,81,10,10,10,1
35,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,417,20,608,413,417,149,90,10,10,10,1
36,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,389,20,608,385,389,132,87,10,10,10,1
37,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,366,20,608,362,366,152,114,10,10,10,1
38,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,350,18,544,346,350,138,90,10,10,10,1
39,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,282,14,416,278,282,98,70,10,10,10,1
40,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,400,19,576,396,400,136,89,10,10,10,1
41,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,387,20,608,383,387,161,126,10,10,10,1
42,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,390,19,576,386,390,134,83,10,10,10,1
43,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,306,15,448,302,306,105,72,10,10,10,1
44,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,421,22,672,417,421,162,128,10,10,10,1
45,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,355,17,512,351,355,132,95,10,10,10,1
46,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,433,23,704,429,433,186,141,10,10,10,1
47,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,511,27,832,507,511,152,95,10,10,10,1
48,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,405,25,768,401,405,161,99,10,10,10,1
49,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,310,16,480,306,310,134,97,10,10,10,1
50,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,378,19,576,374,378,137,100,10,10,10,1
51,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,346,19,576,342,346,109,72,10,10,10,1
52,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,534,26,800,530,534,164,98,10,10,10,1
53,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,446,19,576,442,446,143,106,10,10,10,1
54,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,372,20,608,368,372,171,135,10,10,10,1
55,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,367,21,640,363,367,188,146,10,10,10,1
56,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,428,19,576,424,428,145,99,10,10,10,1
57,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,324,16,480,320,324,108,72,10,10,10,1
58,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,384,17,512,380,384,141,99,10,10,10,1
59,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.2,4,313,17,512,309,313,138,114,10,10,10,1
60,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,442,20,608,438,442,138,92,10,10,10,1
61,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,331,17,512,327,331,142,105,10,10,10,1
62,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,384,19,576,380,384,171,127,10,10,10,1
63,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,446,23,704,442,446,149,109,10,10,10,1
64,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,292,15,448,288,292,106,79,10,10,10,1
65,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,462,24,736,458,462,158,115,10,10,10,1
66,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,259,15,448,255,259,109,71,10,10,10,1
67,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,414,22,672,410,414,147,109,10,10,10,1
68,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,308,16,480,304,308,119,86,10,10,10,1
69,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,451,24,736,447,451,159,94,10,10,10,1
70,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,309,16,480,305,309,117,85,10,10,10,1
71,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,381,20,608,377,381,154,110,10,10,10,1
72,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,306,18,544,302,306,102,69,10,10,10,1
73,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,391,21,640,387,391,148,101,10,10,10,1
74,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,521,26,800,517,521,166,102,10,10,10,1
75,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.2,4,485,24,736,481,485,145,104,10,10,10,1
76,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,356,19,576,352,356,139,104,10,10,10,1
77,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.7,4,435,20,608,431,435,144,105,10,10,10,1
78,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,341,16,480,337,341,109,66,10,10,10,1
79,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,396,19,576,392,396,162,127,10,10,10,1
80,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,435,20,608,431,435,166,115,10,10,10,1
81,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,278,15,448,274,278,106,76,10,10,10,1
82,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,577,29,896,573,577,180,98,10,10,10,1
83,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,456,23,704,452,456,141,89,10,10,10,1
84,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,397,17,512,393,397,105,68,10,10,10,1
85,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,304,21,640,300,304,157,119,10,10,10,1
86,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,363,20,608,359,363,151,113,10,10,10,1
87,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,350,20,608,346,350,172,140,10,10,10,1
88,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,340,22,672,336,340,154,111,10,10,10,1
89,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,444,21,640,440,444,166,141,10,10,10,1
90,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,291,17,512,287,291,114,82,10,10,10,1
91,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,437,24,736,433,437,154,105,10,10,10,1
92,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.3,4,292,17,512,288,292,102,68,10,10,10,1
93,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,319,17,512,315,319,110,66,10,10,10,1
94,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,275,16,480,271,275,125,96,10,10,10,1
95,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,481,25,768,477,481,159,116,10,10,10,1
96,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,375,17,512,371,375,134,96,10,10,10,1
97,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,308,17,512,304,308,112,74,10,10,10,1
98,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.6,4,394,18,544,390,394,173,143,10,10,10,1
99,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,328,18,544,324,328,120,75,10,10,10,1
100,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,425,22,672,421,425,131,84,10,10,10,1
101,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,358,18,544,354,358,128,96,10,10,10,1
102,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,412,22,672,408,412,144,97,10,10,10,1
103,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,360,20,608,356,360,141,102,10,10,10,1
104,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,353,17,512,349,353,127,85,10,10,10,1
105,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.1,4,483,23,704,479,483,165,115,10,10,10,1
106,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,279,15,448,275,279,116,81,10,10,10,1
107,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,373,20,608,369,373,158,126,10,10,10,1
108,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,317,19,576,313,317,144,121,10,10,10,1
109,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.8,4,389,20,608,385,389,135,95,10,10,10,1
110,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.4,4,310,17,512,306,310,130,98,10,10,10,1
111,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,556,28,864,552,556,174,105,10,10,10,1
112,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,281,19,576,277,281,157,118,10,10,10,1
113,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.5,4,395,21,640,391,395,139,101,10,10,10,1
114,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.9,4,269,15,448,265,269,121,90,10,10,10,1
115,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0.1,4,305,15,448,301,305,104,73,10,10,10,1
116,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,1,4,295,16,480,291,295,131,102,10,10,10,1
117,10,0,0.000145514,0,0.41762,3.3582e-05,0.417799,0,4,262,15,448,258,262,107,73,10,10,10,1
