pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
40,0,0,512,0.007851,0,3.89366,0.010074,3.91158,0.00763981
40,1,512,488,0.004764,0,4.09098,0.008112,4.10386,0.00840955
