query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.2,4,994,52,1632,990,994,279,145,30,30,10,1
1,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,1083,57,1792,1079,1083,337,183,30,30,10,1
2,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.1,4,921,44,1376,917,921,283,186,30,30,10,1
3,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.2,4,899,61,1920,895,899,305,171,30,30,10,1
4,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,909,48,1504,905,909,284,171,30,30,10,1
5,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,1253,64,2016,1249,1253,356,195,30,30,10,1
6,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,935,50,1568,931,935,269,161,30,30,10,1
7,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.2,4,815,55,1728,811,815,330,209,30,30,10,1
8,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,945,44,1376,941,945,258,150,30,30,10,1
9,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.1,4,898,41,1280,894,898,265,180,30,30,10,1
10,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.1,4,819,38,1184,815,819,252,166,30,30,10,1
11,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.1,4,940,46,1440,936,940,266,170,30,30,10,1
12,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0,4,1080,55,1728,1076,1080,307,175,30,30,10,1
13,30,0,1.55723e-05,0,0.00538368,1.99238e-05,0.00541918,0.2,4,1169,58,1824,1165,1169,319,162,30,30,10,1
