pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
10,0,0,512,0.074503,0,213.821,0.017194,213.913,0.417799
10,1,512,488,0.071365,0,1.03722,0.00709,1.11568,0.00228622
