pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
50,0,0,512,0.012157,0,5.73912,0.013865,5.76514,0.01126
50,1,512,488,0.005094,0,5.39154,0.008083,5.40471,0.0110752
