pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
10,0,0,512,0.010603,0,1.15793,0.010936,1.17947,0.00230365
10,1,512,488,0.005071,0,1.0327,0.008102,1.04587,0.00214318
