pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
30,0,0,512,0.007973,0,2.75644,0.010201,2.77462,0.00541918
30,1,512,488,0.004985,0,2.8924,0.010223,2.90761,0.00595821
