query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.2,4,1137,61,1920,1133,1137,362,227,50,50,10,1
1,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1083,57,1792,1079,1083,383,249,50,50,10,1
2,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1216,62,1952,1212,1216,393,253,50,50,10,1
3,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.2,4,1022,72,2272,1018,1022,373,225,50,50,10,1
4,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1130,61,1920,1126,1130,365,237,50,50,10,1
5,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.1,4,1530,76,2400,1526,1530,464,296,50,50,10,1
6,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1318,71,2240,1314,1318,386,233,50,50,10,1
7,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.2,4,1066,83,2624,1062,1066,456,275,50,50,10,1
8,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1516,78,2464,1512,1516,408,208,50,50,10,1
9,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.2,4,1186,58,1824,1182,1186,363,260,50,50,10,1
10,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0.2,4,1233,60,1888,1229,1233,373,242,50,50,10,1
11,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1501,75,2368,1497,1501,409,239,50,50,10,1
12,50,0,2.37441e-05,0,0.0112092,2.70801e-05,0.01126,0,4,1103,57,1792,1099,1103,370,241,50,50,10,1
