query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
40,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1073,58,1824,1069,1073,421,274,50,50,10,1
41,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,868,60,1888,864,868,441,321,50,50,10,1
42,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1014,57,1792,1010,1014,406,260,50,50,10,1
43,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.6,4,936,56,1760,932,936,408,255,50,50,10,1
44,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,904,62,1952,900,904,431,309,50,50,10,1
45,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,867,56,1760,863,867,393,256,50,50,10,1
46,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1004,61,1920,1000,1004,452,324,50,50,10,1
47,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.6,4,1061,63,1984,1057,1061,443,282,50,50,10,1
48,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,805,59,1856,801,805,397,270,50,50,10,1
49,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,799,57,1792,795,799,387,233,50,50,10,1
50,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,969,57,1792,965,969,416,272,50,50,10,1
51,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,824,54,1696,820,824,347,215,50,50,10,1
52,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1071,58,1824,1067,1071,450,304,50,50,10,1
53,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1077,57,1792,1073,1077,436,302,50,50,10,1
54,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,704,60,1888,700,704,414,309,50,50,10,1
55,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,706,59,1856,702,706,435,305,50,50,10,1
56,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1022,56,1760,1018,1022,413,283,50,50,10,1
57,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,936,55,1728,932,936,367,219,50,50,10,1
58,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,982,57,1792,978,982,404,255,50,50,10,1
59,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,655,57,1792,651,655,387,275,50,50,10,1
60,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1136,59,1856,1132,1136,439,308,50,50,10,1
61,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,821,57,1792,817,821,385,258,50,50,10,1
62,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,679,59,1856,675,679,421,292,50,50,10,1
63,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,942,59,1856,938,942,417,291,50,50,10,1
64,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,648,54,1696,644,648,318,192,50,50,10,1
65,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,983,60,1888,979,983,455,331,50,50,10,1
66,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,673,55,1728,669,673,310,192,50,50,10,1
67,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,924,59,1856,920,924,403,274,50,50,10,1
68,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,826,55,1728,822,826,362,231,50,50,10,1
69,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1170,67,2112,1166,1170,454,273,50,50,10,1
70,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,689,56,1760,685,689,356,229,50,50,10,1
71,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,770,56,1760,766,770,388,260,50,50,10,1
72,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,919,54,1696,915,919,343,205,50,50,10,1
73,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1048,64,2016,1044,1048,388,257,50,50,10,1
74,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.5,4,1104,61,1920,1100,1104,427,278,50,50,10,1
75,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,972,61,1920,968,972,434,321,50,50,10,1
76,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,939,60,1888,935,939,439,299,50,50,10,1
77,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,939,57,1792,935,939,430,289,50,50,10,1
78,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1159,62,1952,1155,1159,440,290,50,50,10,1
79,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,792,58,1824,788,792,433,287,50,50,10,1
80,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1080,60,1888,1076,1080,466,322,50,50,10,1
81,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1022,55,1728,1018,1022,365,226,50,50,10,1
82,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,1068,59,1856,1064,1068,408,266,50,50,10,1
83,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,905,55,1728,901,905,365,242,50,50,10,1
84,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1091,57,1792,1087,1091,360,225,50,50,10,1
85,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,606,60,1888,602,606,392,269,50,50,10,1
86,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,714,59,1856,710,714,413,275,50,50,10,1
87,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,625,59,1856,621,625,404,294,50,50,10,1
88,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,682,57,1792,678,682,388,259,50,50,10,1
89,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1005,60,1888,1001,1005,467,327,50,50,10,1
90,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,542,54,1696,538,542,318,221,50,50,10,1
91,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,934,64,2016,930,934,451,299,50,50,10,1
92,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,874,57,1792,870,874,361,230,50,50,10,1
93,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,812,54,1696,808,812,345,212,50,50,10,1
94,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,574,55,1728,570,574,329,214,50,50,10,1
95,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1070,65,2048,1066,1070,453,311,50,50,10,1
96,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.6,4,1116,58,1824,1112,1116,434,281,50,50,10,1
97,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,759,56,1760,755,759,355,216,50,50,10,1
98,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,773,58,1824,769,773,422,300,50,50,10,1
99,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,806,54,1696,802,806,342,214,50,50,10,1
100,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,933,55,1728,929,933,372,245,50,50,10,1
101,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,817,58,1824,813,817,384,261,50,50,10,1
102,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,1037,61,1920,1033,1037,437,286,50,50,10,1
103,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,798,57,1792,794,798,376,261,50,50,10,1
104,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,920,55,1728,916,920,359,214,50,50,10,1
105,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1002,59,1856,998,1002,439,290,50,50,10,1
106,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,794,54,1696,790,794,337,221,50,50,10,1
107,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,703,59,1856,699,703,432,283,50,50,10,1
