pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
20,0,0,512,0.008682,0,2.16054,0.010067,2.17929,0.00425643
20,1,512,488,0.004257,0,1.96851,0.013513,1.98628,0.00407025
