pq,batch_index,batch_offset,batch_size,h2d_ms,memset_ms,kernel_ms,d2h_ms,total_ms,per_query_total_ms
30,0,0,512,0.020405,0,2.56251,0.010208,2.59312,0.00506469
30,1,512,488,0.014066,0,2.48215,0.008304,2.50452,0.00513221
