query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,465,23,704,461,465,132,62,10,10,10,1
1,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,653,34,1056,649,653,175,90,10,10,10,1
2,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,392,17,512,388,392,115,77,10,10,10,1
3,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.3,4,352,19,576,348,352,121,84,10,10,10,1
4,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,401,19,576,397,401,125,85,10,10,10,1
5,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,528,25,768,524,528,146,89,10,10,10,1
6,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,463,22,672,459,463,120,67,10,10,10,1
7,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,360,19,576,356,360,135,96,10,10,10,1
8,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,454,20,608,450,454,101,50,10,10,10,1
9,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,654,28,864,650,654,157,87,10,10,10,1
10,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,394,17,512,390,394,98,60,10,10,10,1
11,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,507,22,672,503,507,127,77,10,10,10,1
12,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,391,20,608,387,391,124,82,10,10,10,1
13,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.3,4,417,19,576,413,417,108,66,10,10,10,1
14,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,420,20,608,416,420,115,69,10,10,10,1
15,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,447,21,640,443,447,113,71,10,10,10,1
16,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,579,24,736,575,579,146,84,10,10,10,1
17,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,411,23,704,407,411,109,52,10,10,10,1
18,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,351,17,512,347,351,105,71,10,10,10,1
19,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,368,19,576,364,368,92,59,10,10,10,1
20,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.4,4,428,21,640,424,428,138,95,10,10,10,1
21,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.3,4,379,17,512,375,379,112,78,10,10,10,1
22,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,577,27,832,573,577,144,94,10,10,10,1
23,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.4,4,410,20,608,406,410,123,85,10,10,10,1
24,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,342,16,480,338,342,115,72,10,10,10,1
25,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,455,21,640,451,455,135,88,10,10,10,1
26,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.4,4,443,22,672,439,443,132,78,10,10,10,1
27,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0,4,421,18,544,417,421,118,77,10,10,10,1
28,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.2,4,544,28,864,540,544,131,67,10,10,10,1
29,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.1,4,619,30,928,615,619,226,176,10,10,10,1
30,10,0,2.0709e-05,0,0.00226159,2.13594e-05,0.00230365,0.3,4,455,21,640,451,455,123,69,10,10,10,1
