method,build_ms,search_ms,qps,recall,k
repro_cpu_raw,202849.0,114.446,8739.85,0.1428,10
repro_gpu_raw,202147.0,4.3699,228849.0,0.1417,10
repro_gpu_hash,176189.0,11.6968,85495.0,0.218,10
official_cpu_raw,439271.70023322105,1266.4078623056412,789.7142742860862,0.2813,10
official_gpu_raw,373007.3073282838,746.5097506841024,1350.2202945640736,0.2793,10
