method,build_ms,search_ms,qps,recall,k
repro_cpu_raw,775734.0,312.084,3204.71,0.8848,10
repro_gpu_raw,785934.0,8.8703,112736.0,0.8838,10
repro_gpu_hash,501106.0,10.8715,92023.7,0.1963,10
official_cpu_raw,723827.791724354,999.4379132986069,1004.447492200679,0.8861000000000001,10
official_gpu_raw,842451.9766271114,881.8158979217211,1134.0818330780214,0.8863,10
