query_id,pq,latency_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,50,0.308215,0.8,4,996,53,1664,992,996,996,208,944,50,10,1
1,50,0.366055,0.8,4,1137,57,1792,1133,1137,1137,242,1081,50,10,1
2,50,0.322338,0.8,4,1054,57,1792,1050,1054,1054,239,998,50,10,1
3,50,0.211035,1,4,622,55,1728,618,622,622,206,569,50,10,1
4,50,0.307601,1,4,1005,59,1856,1001,1005,1005,235,947,50,10,1
5,50,0.36734,0.7,4,1112,62,1952,1108,1112,1112,317,1051,50,10,1
6,50,0.31057,1,4,1062,54,1696,1058,1062,1062,211,1009,50,10,1
7,50,0.257297,1,4,734,60,1888,730,734,734,303,675,50,10,1
8,50,0.330106,0.9,4,1092,53,1664,1088,1092,1092,214,1040,50,10,1
9,50,0.294867,1,4,987,55,1728,983,987,987,284,933,50,10,1
10,50,0.318335,0.9,4,998,61,1920,994,998,998,241,938,50,10,1
11,50,0.321825,0.8,4,1068,58,1824,1064,1068,1068,239,1011,50,10,1
12,50,0.27777,0.9,4,877,54,1696,873,877,877,219,824,50,10,1
13,50,0.304205,1,4,1022,58,1824,1018,1022,1022,241,965,50,10,1
14,50,0.385326,0.8,4,1140,62,1952,1136,1140,1140,246,1079,50,10,1
15,50,0.28191,0.8,4,913,57,1792,909,913,913,235,857,50,10,1
16,50,0.304091,0.9,4,992,56,1760,988,992,992,225,937,50,10,1
17,50,0.314342,0.7,4,1090,56,1760,1086,1090,1090,223,1035,50,10,1
18,50,0.341035,0.8,4,1104,56,1760,1100,1104,1104,275,1049,50,10,1
19,50,0.293819,0.9,4,1015,56,1760,1011,1015,1015,222,960,50,10,1
20,50,0.306118,1,4,911,58,1824,907,911,911,278,854,50,10,1
21,50,0.313596,1,4,1048,56,1760,1044,1048,1048,252,993,50,10,1
22,50,0.292566,1,4,987,58,1824,983,987,987,253,930,50,10,1
23,50,0.301813,0.9,4,992,55,1728,988,992,992,250,938,50,10,1
24,50,0.310936,1,4,1072,58,1824,1068,1072,1072,281,1015,50,10,1
25,50,0.326223,1,4,998,56,1760,994,998,998,268,943,50,10,1
26,50,0.32899,0.9,4,1082,59,1856,1078,1082,1082,299,1024,50,10,1
27,50,0.330079,0.9,4,1076,61,1920,1072,1076,1076,297,1016,50,10,1
28,50,0.312058,0.8,4,1009,57,1792,1005,1009,1009,302,953,50,10,1
29,50,0.265501,0.9,4,789,58,1824,785,789,789,287,732,50,10,1
30,50,0.308568,0.9,4,1019,59,1856,1015,1019,1019,287,961,50,10,1
31,50,0.314167,0.9,4,996,56,1760,992,996,996,272,941,50,10,1
32,50,0.302813,1,4,1004,54,1696,1000,1004,1004,222,951,50,10,1
33,50,0.268914,1,4,771,59,1856,767,771,771,253,713,50,10,1
34,50,0.300343,1,4,956,56,1760,952,956,956,230,901,50,10,1
35,50,0.340539,1,4,1050,58,1824,1046,1050,1050,240,993,50,10,1
36,50,0.341076,1,4,1087,61,1920,1083,1087,1087,249,1027,50,10,1
37,50,0.279747,1,4,816,58,1824,812,816,816,266,759,50,10,1
38,50,0.307219,1,4,918,57,1792,914,918,918,242,862,50,10,1
39,50,0.301494,1,4,923,55,1728,919,923,923,208,869,50,10,1
40,50,0.346806,1,4,1074,58,1824,1070,1074,1074,274,1017,50,10,1
41,50,0.295703,0.8,4,868,60,1888,864,868,868,321,809,50,10,1
42,50,0.322635,1,4,1014,57,1792,1010,1014,1014,260,958,50,10,1
43,50,0.289452,0.6,4,936,56,1760,932,936,936,255,881,50,10,1
44,50,0.308455,1,4,904,62,1952,900,904,904,309,843,50,10,1
45,50,0.279301,1,4,867,56,1760,863,867,867,256,812,50,10,1
46,50,0.346492,1,4,1005,61,1920,1001,1005,1005,324,945,50,10,1
47,50,0.337664,0.6,4,1062,63,1984,1058,1062,1062,282,1000,50,10,1
48,50,0.274177,1,4,805,59,1856,801,805,805,270,747,50,10,1
49,50,0.252658,1,4,799,57,1792,795,799,799,233,743,50,10,1
50,50,0.304518,1,4,969,57,1792,965,969,969,272,913,50,10,1
51,50,0.278168,1,4,824,54,1696,820,824,824,215,771,50,10,1
52,50,0.329746,1,4,1072,58,1824,1068,1072,1072,304,1015,50,10,1
53,50,0.325384,0.9,4,1080,57,1792,1076,1080,1080,302,1024,50,10,1
54,50,0.254089,0.9,4,704,60,1888,700,704,704,309,645,50,10,1
55,50,0.244425,1,4,706,59,1856,702,706,706,305,649,50,10,1
56,50,0.302557,0.8,4,1022,56,1760,1018,1022,1022,283,967,50,10,1
57,50,0.305796,1,4,938,55,1728,934,938,938,219,884,50,10,1
58,50,0.316499,1,4,983,57,1792,979,983,983,255,927,50,10,1
59,50,0.229333,1,4,655,57,1792,651,655,655,275,599,50,10,1
60,50,0.367289,0.8,4,1136,59,1856,1132,1136,1136,308,1078,50,10,1
61,50,0.26886,1,4,830,57,1792,826,830,830,264,774,50,10,1
62,50,0.243175,1,4,679,59,1856,675,679,679,292,621,50,10,1
63,50,0.303787,1,4,942,59,1856,938,942,942,291,884,50,10,1
64,50,0.231788,1,4,648,54,1696,644,648,648,192,595,50,10,1
65,50,0.327915,1,4,980,60,1888,976,980,980,332,921,50,10,1
66,50,0.22563,1,4,673,55,1728,669,673,673,192,619,50,10,1
67,50,0.300918,1,4,924,59,1856,920,924,924,274,866,50,10,1
68,50,0.267957,0.9,4,826,55,1728,822,826,826,231,772,50,10,1
69,50,0.377426,0.8,4,1170,67,2112,1166,1170,1170,273,1104,50,10,1
70,50,0.223331,1,4,689,56,1760,685,689,689,229,634,50,10,1
71,50,0.259668,1,4,770,56,1760,766,770,770,260,715,50,10,1
72,50,0.29128,0.7,4,919,54,1696,915,919,919,208,866,50,10,1
73,50,0.338752,1,4,1048,64,2016,1044,1048,1048,257,985,50,10,1
74,50,0.323853,0.5,4,1105,61,1920,1101,1105,1105,278,1045,50,10,1
75,50,0.307921,0.7,4,972,61,1920,968,972,972,321,912,50,10,1
76,50,0.314165,1,4,939,60,1888,935,939,939,300,880,50,10,1
77,50,0.303069,0.7,4,939,57,1792,935,939,939,289,883,50,10,1
