query_id,pq,latency_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
0,10,0.139479,0.2,4,292,14,416,288,292,292,64,279,10,10,1
1,10,0.199847,0.6,4,495,23,704,491,495,495,77,473,10,10,1
2,10,0.153683,0.8,4,362,17,512,358,362,362,86,346,10,10,1
3,10,0.11096,1,4,294,16,480,290,294,294,76,279,10,10,1
4,10,0.142281,0.8,4,367,19,576,363,367,367,87,349,10,10,1
5,10,0.215793,0.5,4,549,27,832,545,549,549,105,523,10,10,1
6,10,0.135115,0.6,4,399,19,576,395,399,399,61,381,10,10,1
7,10,0.133757,1,4,365,21,640,361,365,365,135,345,10,10,1
8,10,0.133831,0.7,4,393,17,512,389,393,393,66,377,10,10,1
9,10,0.164187,0.6,4,515,22,672,511,515,515,92,494,10,10,1
10,10,0.157352,0.1,4,446,25,768,442,446,446,83,422,10,10,1
11,10,0.128764,0.4,4,380,17,512,376,380,380,80,364,10,10,1
12,10,0.111145,0.8,4,322,16,480,318,322,322,84,307,10,10,1
13,10,0.118504,0.6,4,375,18,544,371,375,375,76,358,10,10,1
14,10,0.158295,0.6,4,417,21,640,413,417,417,74,397,10,10,1
15,10,0.143876,0.3,4,309,19,576,305,309,309,70,291,10,10,1
16,10,0.176294,0.6,4,326,17,512,322,326,326,78,310,10,10,1
17,10,0.156903,0.2,4,262,13,384,258,262,262,50,250,10,10,1
18,10,0.255238,0.3,4,441,21,640,437,441,441,94,421,10,10,1
19,10,0.282885,0.7,4,396,18,544,392,396,396,70,379,10,10,1
20,10,0.228971,0.8,4,368,18,544,364,368,368,114,351,10,10,1
21,10,0.176391,0.8,4,334,15,448,330,334,334,83,320,10,10,1
22,10,0.129052,0.1,4,267,14,416,263,267,267,74,254,10,10,1
23,10,0.181869,0.6,4,362,17,512,358,362,362,91,346,10,10,1
24,10,0.207518,1,4,476,22,672,472,476,476,98,455,10,10,1
25,10,0.17609,1,4,472,23,704,468,472,472,95,450,10,10,1
26,10,0.168373,0.3,4,444,21,640,440,444,444,101,424,10,10,1
27,10,0.167937,0.5,4,497,21,640,493,497,497,100,477,10,10,1
28,10,0.125694,0.3,4,380,18,544,376,380,380,101,363,10,10,1
29,10,0.125354,0.5,4,384,20,608,380,384,384,110,365,10,10,1
30,10,0.124169,0.2,4,393,20,608,389,393,393,102,374,10,10,1
31,10,0.103867,0.8,4,336,17,512,332,336,336,90,320,10,10,1
32,10,0.086376,0.9,4,292,14,416,288,292,292,80,279,10,10,1
33,10,0.114464,0.9,4,319,20,608,315,319,319,108,300,10,10,1
34,10,0.133119,1,4,421,20,608,417,421,421,81,402,10,10,1
35,10,0.143273,1,4,417,20,608,413,417,417,90,398,10,10,1
36,10,0.121533,0.5,4,389,20,608,385,389,389,87,370,10,10,1
37,10,0.120973,1,4,366,20,608,362,366,366,114,347,10,10,1
38,10,0.118181,0.9,4,350,18,544,346,350,350,90,333,10,10,1
39,10,0.089763,0.8,4,282,14,416,278,282,282,70,269,10,10,1
40,10,0.133399,0.8,4,400,19,576,396,400,400,89,382,10,10,1
41,10,0.131862,0.5,4,387,20,608,383,387,387,126,368,10,10,1
42,10,0.124726,1,4,390,19,576,386,390,390,83,372,10,10,1
43,10,0.092043,0.4,4,306,15,448,302,306,306,72,292,10,10,1
44,10,0.140524,0.8,4,421,22,672,417,421,421,128,400,10,10,1
45,10,0.105885,1,4,355,17,512,351,355,355,95,339,10,10,1
46,10,0.154543,1,4,433,23,704,429,433,433,141,411,10,10,1
47,10,0.166661,0.5,4,511,27,832,507,511,511,95,485,10,10,1
48,10,0.138526,1,4,405,25,768,401,405,405,99,381,10,10,1
49,10,0.098087,1,4,310,16,480,306,310,310,97,295,10,10,1
50,10,0.117077,0.9,4,378,19,576,374,378,378,100,360,10,10,1
51,10,0.115538,0.7,4,346,19,576,342,346,346,72,328,10,10,1
52,10,0.162124,0.9,4,534,26,800,530,534,534,98,509,10,10,1
53,10,0.131403,0.7,4,446,19,576,442,446,446,106,428,10,10,1
54,10,0.124863,0.5,4,372,20,608,368,372,372,135,353,10,10,1
55,10,0.123772,1,4,367,21,640,363,367,367,146,347,10,10,1
56,10,0.130398,0.8,4,428,19,576,424,428,428,99,410,10,10,1
57,10,0.10628,0.9,4,324,16,480,320,324,324,72,309,10,10,1
